y_true,y_pred
1,0.669034854
1,0.577413862
1,0.665146712
1,0.66102998
1,0.002214839
1,0.002214839
1,0.577413862
1,0.703063639
1,0.574115567
1,0.650991716
1,0.650991716
1,0.723468039
1,0.650991716
1,0.7159542
1,0.673418855
1,0.650991716
1,0.703063639
1,0.669034854
1,0.657900471
1,0.650991716
1,0.703063639
1,0.703063639
1,0.703063639
1,0.703063639
1,0.703063639
1,0.703063639
1,0.650991716
1,0.650991716
1,0.711839652
1,0.650991716
1,0.650991716
1,0.650991716
1,0.650991716
1,0.650991716
1,0.665146712
1,0.703063639
1,0.669034854
1,0.650991716
1,0.66102998
1,0.670498894
1,0.723468039
1,0.703063639
1,0.703063639
1,0.703063639
1,0.650991716
1,0.650991716
1,0.703063639
1,0.723468039
1,0.669034854
1,0.703063639
1,0.652150356
1,0.650991716
1,0.650991716
1,0.703063639
1,0.650991716
1,0.703063639
1,0.669034854
1,0.670498894
1,0.723468039
1,0.703063639
1,0.703063639
1,0.650991716
1,0.650991716
1,0.703063639
1,0.723468039
1,0.669034854
1,0.703063639
1,0.652150356
1,0.650991716
1,0.650991716
1,0.703063639
1,0.703063639
1,0.703063639
1,0.703063639
1,0.723468039
1,0.650991716
1,0.650991716
1,0.657900471
1,0.650991716
1,0.703063639
1,0.703063639
1,0.703063639
1,0.723468039
1,0.66102998
1,0.66102998
1,0.723468039
1,0.574115567
1,0.650991716
1,0.650991716
1,0.669034854
1,0.669034854
1,0.669034854
1,0.66102998
1,0.66102998
1,0.574115567
1,0.669034854
1,0.723468039
1,0.650991716
1,0.574115567
